EP07
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                25165829,       "101",  ,       ,       612.780196,     "",    0                                                                                        1-08-2020/02:45:23.0    ,       MEAS;
                25165834,       "102",  419506.642346,  7624282.434564, 616.4226                                                                                        13,     "--",   01-08-2020/02:55:36.0   ,       MEAS;
                25165837,       "103",  419506.688700,  7624282.532466, 616.4191                                                                                        89,     "--",   01-08-2020/02:55:55.0   ,       MEAS;
                25165840,       "104",  419494.945874,  7624303.157020, 616.2898                                                                                        43,     "--",   01-08-2020/02:56:44.0   ,       MEAS;
                25165843,       "105",  419494.930699,  7624303.174330, 616.1932                                                                                        61,     "--",   01-08-2020/02:57:16.0   ,       MEAS;
                25165846,       "106",  419482.058647,  7624324.619035, 614.6935                                                                                        63,     "--",   01-08-2020/02:58:19.0   ,       MEAS;
                25165849,       "107",  419482.040768,  7624324.619569, 614.6365                                                                                        14,     "--",   01-08-2020/02:58:38.0   ,       MEAS;
                25165852,       "108",  419468.261200,  7624345.766529, 613.1112                                                                                        57,     "--",   01-08-2020/03:00:15.0   ,       MEAS;
                25165855,       "109",  419468.255901,  7624345.753632, 613.0723                                                                                        42,     "--",   01-08-2020/03:00:31.0   ,       MEAS;
                25165858,       "110",  419465.028837,  7624343.563013, 613.3525                                                                                        05,     "--",   01-08-2020/03:02:31.0   ,       MEAS;
                25165861,       "111",  419465.046414,  7624343.543805, 613.3165                                                                                        08,     "--",   01-08-2020/03:02:48.0   ,       MEAS;
                25165864,       "112",  419478.865684,  7624322.690787, 614.6943                                                                                        72,     "--",   01-08-2020/03:03:42.0   ,       MEAS;
                25165867,       "113",  419478.866688,  7624322.715500, 614.6608                                                                                        62,     "--",   01-08-2020/03:03:53.0   ,       MEAS;
                25165870,       "114",  419492.391721,  7624302.076754, 616.1597                                                                                        51,     "--",   01-08-2020/03:04:36.0   ,       MEAS;
                25165873,       "115",  419492.391705,  7624302.076644, 616.1597                                                                                        10,     "--",   01-08-2020/03:04:48.0   ,       MEAS;
                25165876,       "116",  419506.087007,  7624282.421763, 616.4422                                                                                        90,     "--",   01-08-2020/03:05:44.0   ,       MEAS;
                25165879,       "117",  419506.126180,  7624282.380272, 616.4288                                                                                        14,     "--",   01-08-2020/03:05:58.0   ,       MEAS;
                25165882,       "118",  419500.762373,  7624277.957390, 617.2701                                                                                        97,     "--",   01-08-2020/03:07:10.0   ,       MEAS;
                25165885,       "119",  419500.714984,  7624277.937188, 617.2705                                                                                        35,     "--",   01-08-2020/03:07:25.0   ,       MEAS;
                25165888,       "120",  419487.570288,  7624299.324315, 616.3816                                                                                        89,     "--",   01-08-2020/03:08:52.0   ,       MEAS;
                25165891,       "121",  419487.572173,  7624299.312292, 616.1795                                                                                        87,     "--",   01-08-2020/03:09:10.0   ,       MEAS;
                25165894,       "122",  419475.124104,  7624320.795941, 614.9241                                                                                        06,     "--",   01-08-2020/03:09:57.0   ,       MEAS;
                25165897,       "123",  419475.125877,  7624320.807585, 614.8226                                                                                        42,     "--",   01-08-2020/03:10:10.0   ,       MEAS;
                25165900,       "124",  419462.020215,  7624341.974239, 613.3449                                                                                        15,     "--",   01-08-2020/03:11:01.0   ,       MEAS;
                25165903,       "125",  419462.024668,  7624342.014315, 613.3181                                                                                        61,     "--",   01-08-2020/03:11:16.0   ,       MEAS;
                25165906,       "126",  419459.610798,  7624340.561918, 613.3430                                                                                        95,     "--",   01-08-2020/03:13:40.0   ,       MEAS;
                25165909,       "127",  419459.632116,  7624340.616127, 613.4572                                                                                        88,     "--",   01-08-2020/03:14:40.0   ,       MEAS;
                25165912,       "128",  419469.826662,  7624318.889440, 615.1026                                                                                        77,     "--",   01-08-2020/03:15:52.0   ,       MEAS;
