3EP08
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                411041797,      "101",  ,       ,       577.603810,     "",    10-02-2021/05:09:33.0    ,       MEAS;
                411041800,      "102",  420656.134370,  7622510.298949, 577.722105,     "",     10-02-2021/05:12:51.0   ,       MEAS;
                411041801,      "103",  420656.345638,  7622510.276327, 577.264671,     "",     10-02-2021/05:13:18.0   ,       MEAS;
                411041802,      "104",  420650.417338,  7622513.654120, 578.038537,     "",     10-02-2021/05:13:46.0   ,       MEAS;
                411041803,      "105",  420650.609949,  7622513.652333, 577.772466,     "",     10-02-2021/05:14:04.0   ,       MEAS;
                411041804,      "106",  420645.426591,  7622516.404116, 578.671030,     "",     10-02-2021/05:14:23.0   ,       MEAS;
                411041805,      "107",  420645.472930,  7622516.467081, 578.169530,     "",     10-02-2021/05:14:35.0   ,       MEAS;
                411041806,      "108",  420640.597388,  7622519.093461, 579.129301,     "",     10-02-2021/05:15:00.0   ,       MEAS;
                411041807,      "109",  420640.652175,  7622518.875735, 578.560280,     "",     10-02-2021/05:15:17.0   ,       MEAS;
                411041808,      "110",  420634.909645,  7622521.976891, 579.437634,     "",     10-02-2021/05:15:34.0   ,       MEAS;
                411041809,      "111",  420634.863351,  7622521.732250, 579.077099,     "",     10-02-2021/05:15:49.0   ,       MEAS;
                411041810,      "112",  420623.898889,  7622500.439221, 578.797505,     "",     10-02-2021/05:16:24.0   ,       MEAS;
                411041811,      "113",  420623.990787,  7622500.319674, 578.205576,     "",     10-02-2021/05:16:48.0   ,       MEAS;
                411041812,      "114",  420629.268111,  7622496.914266, 578.419930,     "",     10-02-2021/05:17:17.0   ,       MEAS;
                411041813,      "115",  420629.284547,  7622496.926202, 578.069986,     "",     10-02-2021/05:17:37.0   ,       MEAS;
                411041814,      "116",  420633.487717,  7622494.515847, 578.233271,     "",     10-02-2021/05:18:09.0   ,       MEAS;
                411041815,      "117",  420633.606546,  7622494.547716, 577.793582,     "",     10-02-2021/05:18:25.0   ,       MEAS;
                411041816,      "118",  420637.981819,  7622491.520467, 577.890670,     "",     10-02-2021/05:18:39.0   ,       MEAS;
                411041817,      "119",  420637.746739,  7622491.457653, 577.670569,     "",     10-02-2021/05:19:06.0   ,       MEAS;
                411041818,      "120",  420642.266600,  7622488.603292, 577.741462,     "",     10-02-2021/05:19:26.0   ,       MEAS;
                411041819,      "121",  420642.256340,  7622488.561028, 577.323961,     "",     10-02-2021/05:19:45.0   ,       MEAS;
                411041820,      "122",  420628.541297,  7622467.847504, 577.229736,     "",     10-02-2021/05:20:22.0   ,       MEAS;
                411041821,      "123",  420628.367688,  7622467.748199, 576.692762,     "",     10-02-2021/05:20:34.0   ,       MEAS;
                411041822,      "124",  420624.957773,  7622470.793294, 577.168814,     "",     10-02-2021/05:20:52.0   ,       MEAS;
                411041823,      "125",  420624.873932,  7622470.720114, 576.532148,     "",     10-02-2021/05:21:08.0   ,       MEAS;
                411041824,      "126",  420621.270285,  7622472.793114, 577.139578,     "",     10-02-2021/05:21:27.0   ,       MEAS;
                411041825,      "127",  420621.245674,  7622472.834528, 576.627924,     "",     10-02-2021/05:21:47.0   ,       MEAS;
                411041826,      "128",  420617.517102,  7622475.109856, 577.254800,     "",     10-02-2021/05:22:04.0   ,       MEAS;
                411041827,      "129",  420617.470121,  7622475.131122, 576.702939,     "",     10-02-2021/05:22:18.0   ,       MEAS;
                411041828,      "130",  420613.169084,  7622477.769402, 577.266284,     "",     10-02-2021/05:22:32.0   ,       MEAS;
                411041829,      "131",  420613.244329,  7622477.877460, 576.936318,     "",     10-02-2021/05:22:43.0   ,       MEAS;
                411041830,      "132",  420601.628176,  7622455.825427, 577.337610,     "",     10-02-2021/05:23:25.0   ,       MEAS;
                411041831,      "133",  420601.585077,  7622455.791286, 576.827841,     "",     10-02-2021/05:23:37.0   ,       MEAS;
                411041832,      "134",  420605.969221,  7622452.954955, 577.526214,     "",     10-02-2021/05:23:52.0   ,       MEAS;
                411041833,      "135",  420605.945783,  7622452.911484, 577.053476,     "",     10-02-2021/05:24:03.0   ,       MEAS;
                411041834,      "136",  420609.397333,  7622450.649031, 577.416535,     "",     10-02-2021/05:24:19.0   ,       MEAS;
                411041835,      "137",  420609.420793,  7622450.660886, 577.090504,     "",     10-02-2021/05:24:28.0   ,       MEAS;
                411041836,      "138",  420612.144145,  7622448.776695, 577.553474,     "",     10-02-2021/05:24:43.0   ,       MEAS;
                411041837,      "139",  420612.268465,  7622448.858066, 577.292887,     "",     10-02-2021/05:24:56.0   ,       MEAS;
                411041838,      "140",  420615.008833,  7622447.224753, 577.806748,     "",     10-02-2021/05:25:58.0   ,       MEAS;
                411041839,      "141",  420614.919450,  7622447.220553, 577.367523,     "",     10-02-2021/05:26:12.0   ,       MEAS;
                411041840,      "142",  420583.528201,  7622397.722060, 577.956109,     "",     10-02-2021/05:28:18.0   ,       MEAS;
                411041841,      "143",  420583.546660,  7622397.661043, 577.721668,     "",     10-02-2021/05:28:37.0   ,       MEAS;
                411041842,      "144",  420581.082358,  7622399.269491, 577.914572,     "",     10-02-2021/05:28:58.0   ,       MEAS;
                411041843,      "145",  420581.022514,  7622399.345819, 577.800953,     "",     10-02-2021/05:29:14.0   ,       MEAS;
                411041844,      "146",  420578.061478,  7622401.079878, 577.983745,     "",     10-02-2021/05:29:30.0   ,       MEAS;
                411041845,      "147",  420578.107440,  7622401.035781, 577.781562,     "",     10-02-2021/05:29:41.0   ,       MEAS;
                411041846,      "148",  420573.588548,  7622403.833824, 577.973716,     "",     10-02-2021/05:29:58.0   ,       MEAS;
                411041847,      "149",  420573.547851,  7622403.860989, 577.707433,     "",     10-02-2021/05:30:14.0   ,       MEAS;
                411041848,      "150",  420571.037108,  7622405.352020, 577.922008,     "",     10-02-2021/05:30:26.0   ,       MEAS;
