3EP13
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                310378501,      "101",  ,       ,       328.295933,     "",    05-02-2021/02:51:04.0    ,       MEAS;
                310378504,      "102",  426740.060431,  7665357.562187, 327.711841,     "",     05-02-2021/02:55:36.0   ,       MEAS;
                310378505,      "103",  426740.098444,  7665357.593007, 327.505123,     "",     05-02-2021/02:55:57.0   ,       MEAS;
                310378506,      "104",  426742.285401,  7665363.074782, 327.438742,     "",     05-02-2021/02:57:35.0   ,       MEAS;
                310378507,      "105",  426742.338675,  7665362.897903, 327.272309,     "",     05-02-2021/02:57:50.0   ,       MEAS;
                310378508,      "106",  426744.081492,  7665369.270730, 327.231415,     "",     05-02-2021/02:59:12.0   ,       MEAS;
                310378509,      "107",  426744.144477,  7665369.279288, 327.123914,     "",     05-02-2021/02:59:25.0   ,       MEAS;
                310378510,      "108",  426746.383626,  7665375.097275, 327.202544,     "",     05-02-2021/03:00:38.0   ,       MEAS;
                310378511,      "109",  426746.447532,  7665374.968823, 327.004038,     "",     05-02-2021/03:00:52.0   ,       MEAS;
                310378512,      "110",  426749.062093,  7665380.892847, 326.858214,     "",     05-02-2021/03:01:55.0   ,       MEAS;
                310378513,      "111",  426749.070970,  7665380.840678, 326.725556,     "",     05-02-2021/03:02:11.0   ,       MEAS;
                310378514,      "112",  426777.644960,  7665371.740198, 326.001234,     "",     05-02-2021/03:03:38.0   ,       MEAS;
                310378515,      "113",  426777.649658,  7665371.775710, 325.596417,     "",     05-02-2021/03:03:50.0   ,       MEAS;
                310378516,      "114",  426774.731282,  7665363.474964, 326.465468,     "",     05-02-2021/03:04:19.0   ,       MEAS;
                310378517,      "115",  426774.748596,  7665363.513422, 326.310062,     "",     05-02-2021/03:04:31.0   ,       MEAS;
                310378518,      "116",  426772.018618,  7665358.333452, 326.763876,     "",     05-02-2021/03:05:08.0   ,       MEAS;
                310378519,      "117",  426772.016918,  7665358.339856, 326.546101,     "",     05-02-2021/03:05:16.0   ,       MEAS;
                310378520,      "118",  426768.991823,  7665351.898712, 327.212980,     "",     05-02-2021/03:05:54.0   ,       MEAS;
                310378521,      "119",  426769.002133,  7665351.802688, 326.624397,     "",     05-02-2021/03:06:50.0   ,       MEAS;
                310378522,      "120",  426766.023950,  7665345.220921, 327.503063,     "",     05-02-2021/03:07:22.0   ,       MEAS;
                310378523,      "121",  426765.956904,  7665345.252050, 327.066772,     "",     05-02-2021/03:07:52.0   ,       MEAS;
                310378524,      "122",  426788.454736,  7665334.628637, 328.354844,     "",     05-02-2021/03:08:51.0   ,       MEAS;
                310378525,      "123",  426788.424523,  7665334.560796, 328.139957,     "",     05-02-2021/03:09:06.0   ,       MEAS;
                310378526,      "124",  426792.289174,  7665343.235765, 327.732162,     "",     05-02-2021/03:09:37.0   ,       MEAS;
                310378527,      "125",  426792.286792,  7665343.229959, 327.405598,     "",     05-02-2021/03:09:49.0   ,       MEAS;
                310378528,      "126",  426795.059795,  7665349.407506, 327.242101,     "",     05-02-2021/03:10:15.0   ,       MEAS;
                310378529,      "127",  426795.102654,  7665349.435845, 326.883994,     "",     05-02-2021/03:10:28.0   ,       MEAS;
                310378530,      "128",  426799.324030,  7665358.330371, 326.317323,     "",     05-02-2021/03:11:05.0   ,       MEAS;
                310378531,      "129",  426799.356345,  7665358.402574, 325.747835,     "",     05-02-2021/03:11:57.0   ,       MEAS;
                310378532,      "130",  426802.574283,  7665362.866695, 326.299574,     "",     05-02-2021/03:12:37.0   ,       MEAS;
                310378533,      "131",  426802.559341,  7665362.835495, 326.154759,     "",     05-02-2021/03:12:48.0   ,       MEAS;
                310378534,      "132",  426822.182059,  7665358.174676, 327.379565,     "",     05-02-2021/03:14:06.0   ,       MEAS;
                310378535,      "133",  426822.097951,  7665358.178275, 327.084269,     "",     05-02-2021/03:14:24.0   ,       MEAS;
                310378536,      "134",  426818.600863,  7665349.303952, 327.397696,     "",     05-02-2021/03:15:47.0   ,       MEAS;
                310378537,      "135",  426818.622190,  7665349.312660, 327.024113,     "",     05-02-2021/03:16:03.0   ,       MEAS;
                310378538,      "136",  426814.531033,  7665342.075541, 327.619208,     "",     05-02-2021/03:17:14.0   ,       MEAS;
                310378539,      "137",  426814.517002,  7665342.058333, 327.164043,     "",     05-02-2021/03:17:42.0   ,       MEAS;
                310378540,      "138",  426809.780113,  7665333.794428, 328.442851,     "",     05-02-2021/03:18:49.0   ,       MEAS;
                310378541,      "139",  426809.855593,  7665333.880840, 328.146713,     "",     05-02-2021/03:19:06.0   ,       MEAS;
                310378542,      "140",  426803.274459,  7665327.815905, 329.163779,     "",     05-02-2021/03:20:50.0   ,       MEAS;
                310378543,      "141",  426803.164018,  7665327.807375, 328.912795,     "",     05-02-2021/03:21:00.0   ,       MEAS;
                310378544,      "142",  426690.430159,  7665294.246484, 329.654308,     "",     05-02-2021/03:26:22.0   ,       MEAS;
                310378545,      "143",  426690.406805,  7665294.313683, 329.438589,     "",     05-02-2021/03:26:40.0   ,       MEAS;
                310378546,      "144",  426685.798372,  7665293.419952, 329.763100,     "",     05-02-2021/03:27:36.0   ,       MEAS;
                310378547,      "145",  426685.844348,  7665293.402326, 329.644045,     "",     05-02-2021/03:27:56.0   ,       MEAS;
                310378548,      "146",  426679.997595,  7665291.293734, 330.161869,     "",     05-02-2021/03:29:05.0   ,       MEAS;
                310378549,      "147",  426679.988851,  7665291.294015, 329.987836,     "",     05-02-2021/03:29:19.0   ,       MEAS;
                310378550,      "148",  426676.288022,  7665288.527050, 330.521286,     "",     05-02-2021/03:29:47.0   ,       MEAS;
                310378551,      "149",  426676.394543,  7665288.557989, 330.207836,     "",     05-02-2021/03:30:08.0   ,       MEAS;
                310378552,      "150",  426670.735279,  7665285.310765, 330.702581,     "",     05-02-2021/03:31:37.0   ,       MEAS;
                310378553,      "151",  426670.800951,  7665285.239043, 330.383980,     "",     05-02-2021/03:31:49.0   ,       MEAS;
                310378554,      "152",  426670.978096,  7665258.159713, 330.263425,     "",     05-02-2021/03:33:33.0   ,       MEAS;
                310378555,      "153",  426670.972741,  7665258.158085, 329.747517,     "",     05-02-2021/03:33:47.0   ,       MEAS;
                310378556,      "154",  426677.405869,  7665261.746113, 330.605133,     "",     05-02-2021/03:35:51.0   ,       MEAS;
                310378557,      "155",  426677.426373,  7665261.750724, 330.342755,     "",     05-02-2021/03:36:01.0   ,       MEAS;
                310378558,      "156",  426685.211314,  7665266.191107, 330.809172,     "",     05-02-2021/03:41:13.0   ,       MEAS;
                310378559,      "157",  426685.269099,  7665266.190984, 330.653952,     "",     05-02-2021/03:42:30.0   ,       MEAS;
                310378560,      "158",  426690.902423,  7665269.715050, 330.705690,     "",     05-02-2021/03:43:01.0   ,       MEAS;
                310378561,      "159",  426691.258068,  7665269.597865, 330.331723,     "",     05-02-2021/03:43:25.0   ,       MEAS;
                310378562,      "160",  426697.165262,  7665272.762305, 330.282863,     "",     05-02-2021/03:43:54.0   ,       MEAS;
                310378563,      "161",  426697.163013,  7665272.935906, 330.009989,     "",     05-02-2021/03:44:15.0   ,       MEAS;
                310378564,      "162",  426710.030110,  7665252.344517, 329.980187,     "",     05-02-2021/03:47:03.0   ,       MEAS;
                310378565,      "163",  426710.081093,  7665252.373675, 329.731688,     "",     05-02-2021/03:47:25.0   ,       MEAS;
                310378566,      "164",  426703.054269,  7665247.645282, 330.392094,     "",     05-02-2021/03:48:19.0   ,       MEAS;
                310378567,      "165",  426702.979971,  7665247.656594, 329.994545,     "",     05-02-2021/03:48:33.0   ,       MEAS;
                310378568,      "166",  426696.620514,  7665245.179299, 330.590730,     "",     05-02-2021/03:49:11.0   ,       MEAS;
                310378569,      "167",  426696.469107,  7665245.333040, 330.329556,     "",     05-02-2021/03:49:27.0   ,       MEAS;
                310378570,      "168",  426691.115470,  7665243.958433, 330.686784,     "",     05-02-2021/03:49:51.0   ,       MEAS;
                310378571,      "169",  426691.073136,  7665243.960346, 330.504291,     "",     05-02-2021/03:50:06.0   ,       MEAS;
                310378572,      "170",  426683.331008,  7665242.958306, 331.513175,     "",     05-02-2021/03:50:52.0   ,       MEAS;
                310378573,      "171",  426683.301044,  7665243.034630, 331.131738,     "",     05-02-2021/03:51:06.0   ,       MEAS;
                310378574,      "172",  426675.431071,  7665213.985405, 336.794567,     "",     05-02-2021/03:53:30.0   ,       MEAS;
                310378575,      "173",  426675.458645,  7665214.045381, 336.412732,     "",     05-02-2021/03:53:56.0   ,       MEAS;
                310378576,      "174",  426687.211395,  7665215.284925, 336.673866,     "",     05-02-2021/03:55:42.0   ,       MEAS;
                310378577,      "175",  426687.116462,  7665215.314933, 336.374726,     "",     05-02-2021/03:56:03.0   ,       MEAS;
                310378578,      "176",  426699.582856,  7665219.821109, 336.612207,     "",     05-02-2021/03:57:26.0   ,       MEAS;
                310378579,      "177",  426699.658737,  7665219.853012, 336.240702,     "",     05-02-2021/03:57:41.0   ,       MEAS;
                310378580,      "178",  426713.225394,  7665225.574464, 335.781046,     "",     05-02-2021/03:59:04.0   ,       MEAS;
                310378581,      "179",  426713.314237,  7665225.630330, 335.450332,     "",     05-02-2021/03:59:20.0   ,       MEAS;
                310378582,      "180",  426719.989609,  7665229.405158, 335.002987,     "",     05-02-2021/04:00:46.0   ,       MEAS;
                310378583,      "181",  426719.922760,  7665229.471384, 334.499719,     "",     05-02-2021/04:01:01.0   ,       MEAS;
                310378584,      "182",  426670.082240,  7665371.634130, 330.600696,     "",     05-02-2021/04:51:16.0   ,       MEAS;
                310378585,      "183",  426670.019900,  7665371.505216, 330.150874,     "",     05-02-2021/04:51:39.0   ,       MEAS;
                310378586,      "184",  426674.264068,  7665379.221501, 330.522336,     "",     05-02-2021/04:52:24.0   ,       MEAS;
                310378587,      "185",  426674.474430,  7665379.184543, 330.001701,     "",     05-02-2021/04:52:50.0   ,       MEAS;
                310378588,      "186",  426678.121144,  7665385.727537, 330.086843,     "",     05-02-2021/04:54:11.0   ,       MEAS;
                310378589,      "187",  426678.229718,  7665385.791526, 329.783868,     "",     05-02-2021/04:55:36.0   ,       MEAS;
                310378590,      "188",  426681.014136,  7665393.765960, 329.987030,     "",     05-02-2021/04:56:20.0   ,       MEAS;
                310378591,      "189",  426680.845356,  7665393.734549, 329.643330,     "",     05-02-2021/04:56:39.0   ,       MEAS;
                310378592,      "190",  426683.441947,  7665401.543247, 330.363117,     "",     05-02-2021/04:57:14.0   ,       MEAS;
                310378593,      "191",  426683.294713,  7665401.482864, 329.994100,     "",     05-02-2021/04:57:35.0   ,       MEAS;
                310378594,      "192",  426661.603204,  7665409.619770, 333.048469,     "",     05-02-2021/04:58:44.0   ,       MEAS;
                310378595,      "193",  426661.529875,  7665409.701350, 332.847214,     "",     05-02-2021/04:59:03.0   ,       MEAS;
                310378596,      "194",  426658.398290,  7665402.552041, 333.204222,     "",     05-02-2021/04:59:42.0   ,       MEAS;
                310378597,      "195",  426658.314858,  7665402.629577, 332.798182,     "",     05-02-2021/04:59:54.0   ,       MEAS;
                310378598,      "196",  426655.242280,  7665394.977379, 333.226194,     "",     05-02-2021/05:00:34.0   ,       MEAS;
                310378599,      "197",  426655.292727,  7665394.938705, 332.745446,     "",     05-02-2021/05:01:06.0   ,       MEAS;
                310378600,      "198",  426648.999385,  7665384.651990, 333.414426,     "",     05-02-2021/05:01:45.0   ,       MEAS;
                310378601,      "199",  426648.947087,  7665384.498251, 332.819958,     "",     05-02-2021/05:01:59.0   ,       MEAS;
                310378602,      "200",  426645.495032,  7665377.647492, 333.689299,     "",     05-02-2021/05:02:31.0   ,       MEAS;
                310378603,      "201",  426645.212470,  7665377.596937, 332.951658,     "",     05-02-2021/05:03:10.0   ,       MEAS;
                310378604,      "202",  426621.679147,  7665387.553014, 335.917302,     "",     05-02-2021/05:04:07.0   ,       MEAS;
                310378605,      "203",  426621.753010,  7665387.540574, 335.444608,     "",     05-02-2021/05:04:41.0   ,       MEAS;
                310378606,      "204",  426624.523351,  7665392.573471, 335.692325,     "",     05-02-2021/05:07:00.0   ,       MEAS;
                310378607,      "205",  426624.404081,  7665392.510923, 335.200555,     "",     05-02-2021/05:07:28.0   ,       MEAS;
                310378608,      "206",  426631.880448,  7665403.340597, 334.792012,     "",     05-02-2021/05:09:04.0   ,       MEAS;
                310378609,      "207",  426631.916614,  7665403.323218, 335.341805,     "",     05-02-2021/05:09:18.0   ,       MEAS;
                310378610,      "208",  426634.645437,  7665411.152959, 335.900396,     "",     05-02-2021/05:09:53.0   ,       MEAS;
                310378611,      "209",  426634.522261,  7665411.234228, 335.385190,     "",     05-02-2021/05:10:24.0   ,       MEAS;
                310378612,      "210",  426639.705945,  7665421.320165, 335.846675,     "",     05-02-2021/05:11:27.0   ,       MEAS;
                310378613,      "211",  426639.726938,  7665421.323071, 335.263977,     "",     05-02-2021/05:11:42.0   ,       MEAS;
                310378614,      "212",  426618.179117,  7665432.958105, 338.419055,     "",     05-02-2021/05:12:44.0   ,       MEAS;
                310378615,      "213",  426618.170702,  7665432.918831, 337.864681,     "",     05-02-2021/05:13:01.0   ,       MEAS;
                310378616,      "214",  426611.709442,  7665420.663018, 338.516037,     "",     05-02-2021/05:13:34.0   ,       MEAS;
                310378617,      "215",  426611.704633,  7665420.659261, 338.034067,     "",     05-02-2021/05:13:49.0   ,       MEAS;
                310378618,      "216",  426607.944437,  7665413.017491, 338.625131,     "",     05-02-2021/05:14:20.0   ,       MEAS;
                310378619,      "217",  426607.951986,  7665412.920303, 338.351215,     "",     05-02-2021/05:14:46.0   ,       MEAS;
                310378620,      "218",  426603.692639,  7665405.962312, 338.914650,     "",     05-02-2021/05:15:13.0   ,       MEAS;
                310378621,      "219",  426603.587522,  7665406.006290, 338.696664,     "",     05-02-2021/05:15:28.0   ,       MEAS;
                310378622,      "220",  426598.964454,  7665397.632096, 339.128990,     "",     05-02-2021/05:16:06.0   ,       MEAS;
                310378623,      "221",  426598.941236,  7665397.563275, 338.625837,     "",     05-02-2021/05:16:23.0   ,       MEAS;
                310378624,      "222",  426672.446356,  7665395.833916, 331.323355,     "",     05-02-2021/05:53:39.0   ,       MEAS;
                310378500,      "101",  426760.000000,  7665334.000000, 330.000000,     "",     05-02-2021/02:51:04.0   ,       FIX;
                310378499,      "TS2",  426766.000000,  7665284.000000, 332.000000,     "",     05-02-2021/02:34:20.0   ,       FIX;
